,links,movie,cert,rateoc,rateou
301,borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,R,89,7.4
302,minari,Minari,PG-13,89,8.0
303,barry-lyndon,Barry Lyndon,PG,89,8.6
304,the-farewell,The Farewell,Not Rated,89,8.2
305,elle,Elle,R,89,7.2
306,the-tale-of-princess-kaguya,The Tale of The Princess Kaguya,PG,89,8.5
307,uncertain,Uncertain,Not Rated,89,8.5
308,captain-blood,Captain Blood,Passed,89,tbd
309,two-days-one-night,"Two Days, One Night",PG-13,89,8.5
310,eighth-grade,Eighth Grade,R,89,7.9
311,a-star-is-born-1954,A Star Is Born,Passed,89,8.3
312,first-cow,First Cow,PG-13,89,7.0
313,no-end-in-sight,No End in Sight,Not Rated,89,8.2
314,its-a-wonderful-life,It's a Wonderful Life,Approved,89,8.9
315,the-madness-of-king-george,The Madness of King George,PG-13,89,7.5
316,phoenix,Phoenix,PG-13,89,7.8
317,goodbye-solo,Goodbye Solo,R,89,7.5
318,gunda,Gunda,G,89,7.1
319,western,Western,Not Rated,89,7.1
320,the-power-of-the-dog,The Power of the Dog,Not Rated,89,6.7
321,stop-making-sense,Stop Making Sense,Not Rated,89,8.6
322,playground,Playground,Not Rated,89,tbd
323,deep-red,Deep Red,Not Rated,89,8.2
324,downhill-racer,Downhill Racer,PG,89,8.0
325,alien,Alien,R,89,9.0
326,columbus,Columbus,Not Rated,89,7.4
327,night-of-the-living-dead,Night of the Living Dead,Unrated,89,8.0
328,the-artist,The Artist,Not Rated,89,8.1
329,yankee-doodle-dandy,Yankee Doodle Dandy,Passed,89,tbd
330,raging-bull,Raging Bull,R,89,7.1
331,eternal-sunshine-of-the-spotless-mind,Eternal Sunshine of the Spotless Mind,R,89,8.9
332,the-piano,The Piano,R,89,8.0
333,of-mice-and-men,Of Mice and Men,Approved,89,tbd
334,dead-souls,Dead Souls,Not Rated,89,tbd
335,zama,Zama,Not Rated,89,7.4
336,dick-johnson-is-dead,Dick Johnson Is Dead,PG-13,89,7.5
